customer,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,recommended_action
Justine K(CASH),106,2,4586.63,3,2,3,323,Potential Loyalists,Nurture — offer incentives to increase purchase frequency.
Phahlelucy Multipurpose Centre (CASH),18,2,4424.01,4,2,2,422,New Customers,Onboard well — build the relationship early with good service and follow-up.
Gladson Sibongiseni Nxumalo(CASH),452,2,3835.0800000000004,1,2,2,122,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
Royal Lodge (CASH),34,7,3594.15,4,4,2,442,Lost Customers,"Deprioritize — unlikely to be worth heavy re-acquisition spend, unless strategically important."
Sarafinah Kota Place(CASH),395,2,3422.99,2,2,2,222,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
Walt Landgoed (Edms) BPK,333,1,3012.91,2,2,2,222,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
Umhlanga Cash Account - Bulk Sales,569,3,2968.4299999999994,1,3,2,132,At Risk,"Win back — personalized outreach before they're lost, understand what changed."
Tshivhase Nature Reserve (CASH),121,2,2700.99,3,3,2,332,Potential Loyalists,Nurture — offer incentives to increase purchase frequency.
Rensia Palace and Spa(CASH),8,6,2497.55,5,4,2,542,Lost Customers,"Deprioritize — unlikely to be worth heavy re-acquisition spend, unless strategically important."
Lucas van Vuuren(CASH),92,1,2458.29,4,1,2,412,New Customers,Onboard well — build the relationship early with good service and follow-up.
Thohoyandou Staff Cash Account,401,5,1978.33,2,3,2,232,At Risk,"Win back — personalized outreach before they're lost, understand what changed."
Cavalieri Cheese ( Pty) Ltd(CASH),106,1,1782.4899999999998,3,1,1,311,Potential Loyalists,Nurture — offer incentives to increase purchase frequency.
Phudali and Ovi GTT(CASH),2,1,1658.1399999999999,5,1,1,511,New Customers,Onboard well — build the relationship early with good service and follow-up.
THO002 - Thohoyandou Staff Account,645,2,1312.27,1,3,1,131,At Risk,"Win back — personalized outreach before they're lost, understand what changed."
VTJ Hire and Entertainment (PtY) lTD(CASH),142,1,1100.83,3,2,1,321,Potential Loyalists,Nurture — offer incentives to increase purchase frequency.
Alumbi Events(CASH),88,1,598.09,4,1,1,411,New Customers,Onboard well — build the relationship early with good service and follow-up.
Chicking Mutsindo (Pty) Ltd(CASH),192,3,529.3199999999999,3,3,1,331,Potential Loyalists,Nurture — offer incentives to increase purchase frequency.
Umhlanga Pensioner Discount Account,565,1,410.84000000000003,1,2,1,121,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
Tsundzukani Athalia Mathonsi - 0211173,424,2,388.49,2,3,1,231,At Risk,"Win back — personalized outreach before they're lost, understand what changed."
Satlafor T/A Kingfisher (CASH),262,1,131.65,2,1,1,211,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
Humbulani Mulovhedzi - 0210094,637,1,104.34,1,1,1,111,Hibernating,"Low-cost reactivation — win-back campaigns, but not high-touch given low historical value."
